time,volume,open,high,low,close
2019-03-04 18:56:00,15,111.739,111.754,111.739,111.749
2019-03-04 18:57:00,4,111.746,111.748,111.744,111.748
2019-03-04 18:58:00,5,111.746,111.752,111.744,111.752
2019-03-04 18:59:00,5,111.749,111.751,111.744,111.744
2019-03-04 19:00:00,10,111.742,111.748,111.742,111.748
2019-03-04 19:01:00,8,111.746,111.748,111.736,111.736
2019-03-04 19:02:00,11,111.734,111.736,111.732,111.734
2019-03-04 19:03:00,7,111.736,111.736,111.732,111.736
2019-03-04 19:04:00,2,111.734,111.736,111.734,111.736
2019-03-04 19:05:00,8,111.734,111.734,111.726,111.726
2019-03-04 19:06:00,3,111.730,111.735,111.730,111.735
2019-03-04 19:07:00,18,111.738,111.748,111.734,111.734
2019-03-04 19:08:00,4,111.736,111.736,111.730,111.730
2019-03-04 19:09:00,6,111.732,111.735,111.730,111.735
2019-03-04 19:10:00,8,111.732,111.734,111.730,111.731
2019-03-04 19:11:00,3,111.728,111.731,111.728,111.728
2019-03-04 19:12:00,15,111.730,111.741,111.728,111.730
2019-03-04 19:13:00,7,111.728,111.728,111.723,111.723
2019-03-04 19:14:00,12,111.726,111.729,111.722,111.724
2019-03-04 19:15:00,13,111.726,111.733,111.724,111.730
2019-03-04 19:16:00,9,111.734,111.736,111.728,111.734
2019-03-04 19:17:00,8,111.731,111.733,111.724,111.724
2019-03-04 19:18:00,7,111.722,111.724,111.717,111.722
2019-03-04 19:19:00,8,111.724,111.730,111.722,111.728
2019-03-04 19:20:00,6,111.725,111.725,111.718,111.723
2019-03-04 19:22:00,5,111.726,111.726,111.720,111.726
2019-03-04 19:23:00,5,111.730,111.740,111.730,111.740
2019-03-04 19:24:00,10,111.742,111.750,111.742,111.750
2019-03-04 19:25:00,4,111.752,111.752,111.750,111.750
2019-03-04 19:26:00,3,111.747,111.747,111.742,111.742
2019-03-04 19:27:00,5,111.744,111.747,111.744,111.744
2019-03-04 19:28:00,5,111.742,111.747,111.742,111.742
2019-03-04 19:29:00,6,111.740,111.742,111.736,111.736
2019-03-04 19:30:00,14,111.740,111.742,111.736,111.736
2019-03-04 19:31:00,3,111.734,111.734,111.730,111.730
2019-03-04 19:32:00,12,111.728,111.734,111.728,111.734
2019-03-04 19:33:00,4,111.732,111.732,111.722,111.722
2019-03-04 19:34:00,3,111.724,111.730,111.724,111.730
2019-03-04 19:35:00,2,111.732,111.735,111.732,111.735
2019-03-04 19:36:00,2,111.732,111.732,111.730,111.730
2019-03-04 19:37:00,9,111.733,111.738,111.728,111.734
2019-03-04 19:38:00,3,111.736,111.738,111.736,111.736
2019-03-04 19:39:00,2,111.738,111.738,111.736,111.736
2019-03-04 19:40:00,10,111.738,111.750,111.738,111.750
2019-03-04 19:41:00,6,111.748,111.748,111.740,111.740
2019-03-04 19:42:00,5,111.738,111.742,111.735,111.742
2019-03-04 19:43:00,4,111.740,111.740,111.734,111.734
2019-03-04 19:44:00,1,111.736,111.736,111.736,111.736
2019-03-04 19:47:00,3,111.738,111.742,111.738,111.742
2019-03-04 19:48:00,2,111.745,111.745,111.743,111.743
2019-03-04 19:49:00,3,111.740,111.740,111.735,111.735
2019-03-04 19:50:00,14,111.738,111.748,111.735,111.740
2019-03-04 19:51:00,9,111.736,111.746,111.736,111.746
2019-03-04 19:53:00,4,111.744,111.746,111.741,111.741
2019-03-04 19:54:00,3,111.738,111.738,111.734,111.734
2019-03-04 19:55:00,1,111.736,111.736,111.736,111.736
2019-03-04 19:56:00,5,111.738,111.742,111.738,111.742
2019-03-04 19:57:00,5,111.740,111.740,111.736,111.736
2019-03-04 19:58:00,2,111.738,111.741,111.738,111.741
2019-03-04 19:59:00,10,111.744,111.744,111.736,111.740
2019-03-04 20:00:00,8,111.742,111.742,111.731,111.731
2019-03-04 20:01:00,6,111.728,111.728,111.722,111.722
2019-03-04 20:02:00,4,111.719,111.719,111.714,111.716
2019-03-04 20:03:00,2,111.718,111.721,111.718,111.721
2019-03-04 20:04:00,6,111.719,111.724,111.718,111.722
2019-03-04 20:06:00,3,111.724,111.724,111.722,111.724
2019-03-04 20:07:00,13,111.722,111.722,111.716,111.721
2019-03-04 20:08:00,5,111.724,111.728,111.724,111.724
2019-03-04 20:09:00,7,111.721,111.726,111.718,111.721
2019-03-04 20:10:00,2,111.724,111.726,111.724,111.726
2019-03-04 20:11:00,5,111.729,111.734,111.729,111.730
